127.0.0.1, 2017-02-25 06:59:16, GET, /admin/default/site, HTTP/1.1, 200, 0.141000
127.0.0.1, 2017-02-25 06:59:16, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.070000
127.0.0.1, 2017-02-25 06:59:16, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.073000
127.0.0.1, 2017-02-25 06:59:16, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.043000
127.0.0.1, 2017-02-25 06:59:17, POST, /admin/default/check_version, HTTP/1.1, 200, 1.262000
127.0.0.1, 2017-02-25 06:59:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-25 06:59:29, POST, /admin/default/site, HTTP/1.1, 303, 0.847000
127.0.0.1, 2017-02-25 06:59:29, GET, /admin/default/design/COL380, HTTP/1.1, 200, 0.272000
127.0.0.1, 2017-02-25 06:59:29, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2017-02-25 06:59:29, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-25 06:59:29, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.033000
127.0.0.1, 2017-02-25 06:59:29, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.066000
127.0.0.1, 2017-02-25 06:59:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/default/edit/COL380/models/menu.py, HTTP/1.1, 200, 0.186000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.061000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.068000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.082000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.106000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-02-25 07:00:48, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.071000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.106000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.245000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.022000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.053000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.079000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.055000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.076000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.063000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.041000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.071000
127.0.0.1, 2017-02-25 07:00:49, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.154000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.845000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.131000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.053000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 1.007000
127.0.0.1, 2017-02-25 07:00:50, GET, /favicon.ico, HTTP/1.1, 400, 0.023000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.200000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/default/edit/COL380/models/menu.py, HTTP/1.1, 200, 0.233000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.244000
127.0.0.1, 2017-02-25 07:00:50, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.274000
127.0.0.1, 2017-02-25 07:00:51, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.318000
127.0.0.1, 2017-02-25 07:00:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 1.310000
127.0.0.1, 2017-02-25 07:00:53, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 2.720000
127.0.0.1, 2017-02-25 07:01:19, POST, /admin/default/edit/COL380/models/menu.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380, HTTP/1.1, 200, 0.309000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-02-25 07:01:32, GET, /COL380/static/js/share.js, HTTP/1.1, 200, 0.002000
, 0.002000
127.0.0.1, 2017-02-25 07:01:33, GET, /COL380/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-25 07:01:33, GET, /COL380/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-02-25 07:01:33, GET, /COL380/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-02-25 07:01:33, GET, /COL380/static/images/facebook.png, HTTP/1.1, 200, 0.000000
